#FORMAT=8899-SNAPSHOT-1
#MARK=new12
#DATE=20260612
#POOL=Розничное ДУ
#PLANS=17154
#ROWS=85507
#CREATED=20260618095816

ДоговорДУ|План|ГруппаОпераций|ПланПроведен|ТипДокумента|Документ|ДокументПроведен|ВидОперации|Выполнять
da7ef852-bf11-11f0-b2ca-0050569f27c0|084b75ad-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
da7ef852-bf11-11f0-b2ca-0050569f27c0|084b75ad-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
da7ef852-bf11-11f0-b2ca-0050569f27c0|084b75ad-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b777e-6ada-11f1-85a8-00505689c994|1||0
da7ef852-bf11-11f0-b2ca-0050569f27c0|084b75ad-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b75e7-6ada-11f1-85a8-00505689c994|1||0
5fb2d4e0-bf8d-11f0-b2ca-0050569f27c0|084b77c8-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
5fb2d4e0-bf8d-11f0-b2ca-0050569f27c0|084b77c8-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
5fb2d4e0-bf8d-11f0-b2ca-0050569f27c0|084b77c8-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
5fb2d4e0-bf8d-11f0-b2ca-0050569f27c0|084b77c8-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b79c9-6ada-11f1-85a8-00505689c994|1||0
5fb2d4e0-bf8d-11f0-b2ca-0050569f27c0|084b77c8-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b7828-6ada-11f1-85a8-00505689c994|1||0
8e092c41-bf98-11f0-b2ca-0050569f27c0|084b77db-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
8e092c41-bf98-11f0-b2ca-0050569f27c0|084b77db-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
8e092c41-bf98-11f0-b2ca-0050569f27c0|084b77db-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
8e092c41-bf98-11f0-b2ca-0050569f27c0|084b77db-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|084b796a-6ada-11f1-85a8-00505689c994|1||0
8e092c41-bf98-11f0-b2ca-0050569f27c0|084b77db-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|084b7873-6ada-11f1-85a8-00505689c994|1||0
f2a8e155-bf99-11f0-b2ca-0050569f27c0|084b77ee-6ada-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
