#FORMAT=8899-SNAPSHOT-1
#MARK=
#DATE=20260612
#POOL=Розничное ДУ
#PLANS=17154
#ROWS=85505
#CREATED=20260618115022

ДоговорДУ|План|ГруппаОпераций|ПланПроведен|ТипДокумента|Документ|ДокументПроведен|ВидОперации|Выполнять
da7ef852-bf11-11f0-b2ca-0050569f27c0|2dad8cf8-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad8d57-6ae8-11f1-85a8-00505689c994|1||0
5fb2d4e0-bf8d-11f0-b2ca-0050569f27c0|2dad8fab-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
5fb2d4e0-bf8d-11f0-b2ca-0050569f27c0|2dad8fab-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
5fb2d4e0-bf8d-11f0-b2ca-0050569f27c0|2dad8fab-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
5fb2d4e0-bf8d-11f0-b2ca-0050569f27c0|2dad8fab-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad900a-6ae8-11f1-85a8-00505689c994|1||0
5fb2d4e0-bf8d-11f0-b2ca-0050569f27c0|2dad8fab-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad914d-6ae8-11f1-85a8-00505689c994|1||0
8e092c41-bf98-11f0-b2ca-0050569f27c0|2dad8fbe-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
8e092c41-bf98-11f0-b2ca-0050569f27c0|2dad8fbe-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
8e092c41-bf98-11f0-b2ca-0050569f27c0|2dad8fbe-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
8e092c41-bf98-11f0-b2ca-0050569f27c0|2dad8fbe-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad91bd-6ae8-11f1-85a8-00505689c994|1||0
